,IAGA,GEOLON,GEOLAT,AACGMLON,AACGMLAT,STATION-NAME,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
20,HAD,355.52,50.98,74.74,47.37,Hartland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,61.0,100.0,100.0,100.0,0.0,99.0,99.0,88.0,36.0
21,ESK,356.8,55.32,77.25,52.74,Eskdalemuir,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,61.0,99.0,100.0,100.0,99.0,99.0,100.0,87.0,36.0
22,MAB,5.68,50.3,82.86,45.98,Manhay,98.0,100.0,99.0,100.0,100.0,98.0,98.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,8.0,11.0,27.0,32.0,91.0,81.0,0.0,9.0,15.0,100.0,40.0
23,DOU,4.6,50.1,81.91,45.76,Dourbes,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8.0,8.0,33.0,33.0,83.0,83.0,0.0,91.0,0.0,98.0,40.0
24,BFE,11.67,55.62,89.56,52.27,Brorfelde,99.0,99.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,99.0,100.0,77.0,99.0,98.0,100.0,99.0,100.0,91.0,91.0,94.0,99.0,99.0,100.0,35.0
25,CLF,2.27,48.02,79.42,43.11,Chambon la foret,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.0,70.0,100.0,99.0,100.0,83.0,75.0,100.0,92.0,91.0,91.0,100.0,38.0
26,OTT,284.45,45.4,2.52,54.98,Ottawa,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,88.0,99.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,38.0
27,WNG,9.07,53.75,86.75,50.15,Wingst,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,98.0,98.0,100.0,100.0,100.0,100.0,41.0
28,VRE,292.38,-17.28,3.97,-4.53,Villa Remedios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,85.0,93.0,100.0,97.0,94.0,90.0,90.0,70.0,98.0,94.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,SHE,354.27,-15.95,63.7,-25.71,St. Helena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,22.0,39.0,95.0,98.0,99.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,100.0,100.0,99.0,40.0
