,IAGA,GEOLON,GEOLAT,AACGMLON,AACGMLAT,STATION-NAME,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
91,LYR,15.83,78.2,111.03,75.64,Longyearbyen,0.0,73.0,93.0,98.0,98.0,100.0,100.0,100.0,97.0,89.0,99.0,91.0,100.0,44.0,74.0,82.0,68.0,93.0,99.0,100.0,97.0,99.0,100.0,100.0,96.0,100.0,95.0,100.0,100.0,36.0
92,JAN,351.3,70.9,82.78,70.47,Jan Mayen,100.0,100.0,81.0,100.0,100.0,100.0,100.0,83.0,99.0,46.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,99.0,100.0,100.0,99.0,100.0,100.0,100.0,37.0
93,HOP,25.01,76.51,114.59,73.53,Hopen Island,0.0,95.0,98.0,99.0,98.0,80.0,91.0,99.0,0.0,0.0,0.0,0.0,0.0,27.0,100.0,100.0,98.0,97.0,99.0,98.0,96.0,98.0,94.0,100.0,84.0,89.0,99.0,97.0,97.0,37.0
94,BJN,19.2,74.5,107.71,71.89,Bear Island,99.0,99.0,95.0,96.0,97.0,97.0,97.0,82.0,92.0,61.0,100.0,99.0,99.0,94.0,100.0,99.0,99.0,98.0,100.0,100.0,100.0,99.0,99.0,100.0,100.0,100.0,100.0,93.0,100.0,37.0
95,SOR,22.22,70.54,106.04,67.8,Soeroeya,0.0,96.0,82.0,91.0,99.0,65.0,49.0,92.0,100.0,100.0,89.0,98.0,98.0,94.0,100.0,92.0,99.0,89.0,96.0,99.0,100.0,98.0,100.0,98.0,99.0,89.0,100.0,98.0,98.0,35.0
96,TRO,18.94,69.66,102.77,67.07,Tromso,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,99.0,99.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,0.0
97,AND,16.03,69.3,100.22,66.86,Andenes,0.0,92.0,98.0,96.0,100.0,100.0,100.0,86.0,100.0,100.0,96.0,96.0,97.0,29.0,100.0,94.0,99.0,98.0,100.0,99.0,100.0,99.0,100.0,90.0,96.0,100.0,100.0,99.0,100.0,37.0
98,JCK,16.98,66.4,98.94,63.82,Jaeckvik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,100.0,94.0,99.0,98.0,99.0,99.0,100.0,92.0,50.0,100.0,95.0,99.0,100.0,37.0
99,DON,12.5,66.11,95.19,63.75,Doenna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,64.0,74.0,100.0,100.0,93.0,96.0,98.0,97.0,99.0,100.0,100.0,100.0,92.0,100.0,100.0,100.0,37.0
100,RVK,10.99,64.94,93.27,62.61,Roervik,0.0,0.0,0.0,0.0,27.0,98.0,100.0,99.0,91.0,99.0,95.0,88.0,99.0,83.0,99.0,88.0,100.0,91.0,99.0,100.0,98.0,100.0,100.0,85.0,100.0,98.0,100.0,100.0,99.0,36.0
101,DOB,9.11,62.07,90.19,59.64,Dombas,0.0,0.0,0.0,0.0,100.0,98.0,98.0,100.0,98.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,98.0,99.0,100.0,100.0,100.0,100.0,100.0,92.0,99.0,95.0,99.0,100.0,37.0
102,SOL,4.84,61.08,86.25,58.82,Solund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,99.0,100.0,100.0,94.0,95.0,96.0,0.0,97.0,98.0,99.0,100.0,100.0,99.0,100.0,84.0,99.0,35.0
103,KAR,5.24,59.21,85.69,56.7,Karmoey ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,96.0,95.0,92.0,99.0,96.0,97.0,98.0,99.0,97.0,100.0,100.0,100.0,94.0,100.0,100.0,100.0,98.0,99.0,37.0
104,HRN,15.6,77.0,108.72,74.52,Hornsund,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,99.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,99.0,93.0,97.0,95.0,100.0,98.0,95.0,76.0,93.0,94.0,38.0
105,ALT,22.96,69.86,106.08,67.08,Alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,KEV,27.01,69.76,109.22,66.82,Kevo,0.0,93.0,97.0,98.0,78.0,77.0,93.0,96.0,96.0,97.0,100.0,99.0,100.0,100.0,92.0,100.0,75.0,98.0,100.0,95.0,100.0,100.0,99.0,89.0,97.0,72.0,100.0,99.0,100.0,38.0
107,MAS,23.7,69.46,106.36,66.65,Masi,0.0,98.0,65.0,68.0,59.0,98.0,91.0,90.0,86.0,95.0,92.0,42.0,75.0,48.0,92.0,95.0,78.0,66.0,81.0,98.0,100.0,98.0,85.0,95.0,98.0,63.0,98.0,96.0,94.0,38.0
108,KIL,20.77,69.06,103.75,66.37,Kilpisjarvi,0.0,95.0,87.0,97.0,97.0,97.0,98.0,100.0,100.0,90.0,94.0,74.0,99.0,100.0,90.0,83.0,85.0,94.0,96.0,98.0,100.0,96.0,91.0,98.0,96.0,100.0,100.0,99.0,95.0,38.0
109,KAU,23.05,69.02,105.53,66.23,Kautokeino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,IVA,27.29,68.56,108.61,65.6,Ivalo,0.0,0.0,0.0,0.0,0.0,0.0,86.0,100.0,98.0,81.0,100.0,77.0,100.0,96.0,97.0,100.0,98.0,93.0,95.0,99.0,91.0,96.0,98.0,100.0,99.0,92.0,98.0,95.0,99.0,38.0
111,ABK,18.82,68.35,101.7,65.74,Abisko,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36.0,100.0,100.0,60.0,49.0,76.0,65.0,59.0,50.0,100.0,38.0
112,LEK,13.54,68.13,97.39,65.79,Leknes,0.0,0.0,0.0,0.0,0.0,100.0,97.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,MUO,23.53,68.02,105.23,65.19,Muonio,0.0,87.0,89.0,100.0,99.0,86.0,78.0,89.0,76.0,81.0,100.0,89.0,95.0,87.0,100.0,98.0,86.0,99.0,98.0,90.0,0.0,92.0,99.0,94.0,99.0,72.0,100.0,96.0,83.0,21.0
114,LOZ,35.02,67.97,114.6,64.77,Lovozero,0.0,73.0,93.0,94.0,88.0,89.0,97.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,100.0,100.0,95.0,100.0,82.0,100.0,98.0,11.0,0.0,0.0,0.0,0.0
115,KIR,20.42,67.84,102.62,65.14,Kiruna,100.0,100.0,100.0,100.0,100.0,99.0,94.0,50.0,100.0,97.0,99.0,100.0,50.0,98.0,100.0,99.0,99.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,91.0,33.0
116,SOD,26.63,67.37,107.33,64.41,Sodankyla,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,97.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,41.0
117,PEL,24.08,66.9,104.97,64.03,Pello,0.0,92.0,90.0,95.0,85.0,94.0,96.0,96.0,87.0,73.0,95.0,100.0,83.0,100.0,84.0,100.0,100.0,92.0,100.0,94.0,94.0,98.0,97.0,80.0,94.0,71.0,95.0,96.0,98.0,38.0
118,LYC,18.75,64.61,99.33,61.87,Lycksele,0.0,0.0,0.0,50.0,100.0,100.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,64.0,48.0,76.0,65.0,51.0,50.0,100.0,39.0
119,OUJ,27.23,64.52,106.27,61.47,Oulujarvi,0.0,96.0,96.0,100.0,99.0,100.0,100.0,96.0,97.0,92.0,91.0,99.0,100.0,99.0,98.0,96.0,100.0,100.0,99.0,99.0,100.0,89.0,93.0,95.0,96.0,94.0,100.0,86.0,99.0,38.0
120,HAN,26.6,62.25,104.72,59.12,Hankasalmi,0.0,97.0,82.0,99.0,85.0,99.0,100.0,99.0,99.0,100.0,71.0,86.0,99.0,92.0,84.0,81.0,92.0,91.0,90.0,91.0,0.0,87.0,97.0,100.0,95.0,69.0,98.0,99.0,85.0,38.0
121,NUR,24.65,60.5,102.35,57.32,Nurmijarvi,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,98.0,100.0,99.0,79.0,92.0,89.0,97.0,98.0,98.0,99.0,37.0
122,UPS,17.35,59.9,95.95,56.88,Uppsala,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,66.0,48.0,76.0,64.0,60.0,50.0,100.0,39.0
123,TAR,26.46,58.26,103.11,54.88,Tartu,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,100.0,100.0,89.0,98.0,94.0,100.0,100.0,84.0,86.0,99.0,100.0,98.0,100.0,100.0,97.0,94.0,93.0,72.0,93.0,72.0,100.0,38.0
124,BRW,203.38,71.32,-106.49,70.64,Barrow,99.0,98.0,98.0,98.0,98.0,100.0,99.0,99.0,100.0,100.0,97.0,96.0,100.0,100.0,100.0,100.0,99.0,96.0,97.0,95.0,96.0,98.0,99.0,94.0,99.0,99.0,98.0,97.0,76.0,36.0
125,KAV,216.35,70.14,-94.68,71.5,Kaktovik,0.0,0.0,0.0,0.0,27.0,35.0,63.0,85.0,98.0,52.0,46.0,73.0,85.0,63.0,77.0,50.0,67.0,62.0,62.0,39.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,KOT,197.4,66.88,-107.15,65.18,Kotzebue,21.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,ARC,214.44,68.12,-94.35,69.17,Arctic Village,61.0,0.0,0.0,0.0,0.0,27.0,70.0,98.0,90.0,90.0,33.0,78.0,60.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,INK,226.23,68.41,-83.67,71.57,Inuvik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,84.0,86.0,72.0,94.0,91.0,89.0,75.0,65.0,17.0,78.0,49.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
129,BET,208.45,66.9,-98.41,66.91,Bettles,0.0,0.0,23.0,0.0,18.0,60.0,32.0,96.0,100.0,96.0,85.0,79.0,82.0,98.0,53.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,FYU,214.78,66.56,-92.75,67.65,Fort Yukon,0.0,8.0,80.0,65.0,42.0,60.0,89.0,89.0,97.0,89.0,61.0,54.0,84.0,93.0,85.0,41.0,65.0,92.0,73.0,34.0,60.0,11.0,41.0,92.0,38.0,65.0,60.0,79.0,56.0,32.0
131,EAG,218.84,64.78,-87.77,66.59,Eagle,8.0,31.0,0.0,17.0,21.0,77.0,86.0,89.0,86.0,93.0,90.0,72.0,87.0,97.0,31.0,67.0,39.0,0.0,15.0,100.0,70.0,0.0,0.0,96.0,92.0,71.0,100.0,84.0,18.0,32.0
132,CMO,212.14,64.87,-93.82,65.45,College,97.0,98.0,99.0,99.0,99.0,100.0,99.0,100.0,100.0,99.0,99.0,100.0,98.0,100.0,99.0,99.0,100.0,100.0,100.0,97.0,98.0,100.0,99.0,99.0,97.0,100.0,99.0,96.0,99.0,38.0
133,CGO,212.14,64.87,-93.82,65.46,College Intl Geophys Observatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,GAK,214.87,62.39,-89.85,63.4,Gakona,0.0,0.0,0.0,2.0,75.0,50.0,66.0,76.0,72.0,81.0,77.0,75.0,49.0,50.0,71.0,85.0,29.0,85.0,39.0,0.0,0.0,0.0,8.0,45.0,0.0,61.0,76.0,37.0,35.0,36.0
135,TLK,209.9,63.3,-94.74,63.43,Talkeetna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,CPY,235.3,70.2,-75.95,74.91,Cape Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PKR,212.57,65.12,-93.62,65.79,Poker Flat,0.0,0.0,0.0,0.0,0.0,62.0,74.0,73.0,88.0,56.0,61.0,61.0,37.0,76.0,58.0,0.0,79.0,77.0,53.0,19.0,71.0,39.0,49.0,61.0,39.0,55.0,58.0,82.0,43.0,11.0
138,DIK,80.7,73.53,156.75,69.34,Dixon,24.0,82.0,99.0,97.0,69.0,97.0,45.0,0.0,0.0,1.0,86.0,21.0,0.0,0.0,0.0,63.0,85.0,94.0,96.0,95.0,79.0,73.0,92.0,62.0,69.0,11.0,0.0,0.0,0.0,0.0
139,CCS,104.28,77.72,176.59,72.77,Chelyuskin,0.0,0.0,78.0,93.0,93.0,81.0,0.0,29.0,88.0,86.0,77.0,87.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,TIK,128.92,71.59,-161.36,66.71,Tixie,72.0,98.0,88.0,83.0,90.0,65.0,83.0,88.0,98.0,99.0,94.0,88.0,87.0,84.0,99.0,43.0,90.0,99.0,100.0,87.0,97.0,96.0,99.0,99.0,99.0,11.0,0.0,0.0,0.0,0.0
141,CWE,190.17,66.17,-112.14,63.47,Wellen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,ARK,40.5,64.6,117.67,61.29,Arkhangelsk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,AAE,38.77,9.03,111.51,-0.06,Addis Ababa,0.0,0.0,33.0,90.0,50.0,0.0,82.0,99.0,97.0,90.0,96.0,95.0,98.0,95.0,97.0,95.0,99.0,98.0,46.0,82.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,ABG,72.87,18.62,146.22,11.99,Alibag,0.0,99.0,96.0,100.0,98.0,96.0,90.0,85.0,92.0,95.0,89.0,93.0,99.0,99.0,100.0,100.0,100.0,100.0,98.0,71.0,71.0,91.0,98.0,94.0,88.0,79.0,98.0,90.0,96.0,40.0
145,AMS,77.57,-37.8,140.23,-48.87,Martin de Vivias,100.0,100.0,100.0,100.0,99.0,99.0,100.0,99.0,98.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,99.0,92.0,91.0,100.0,85.0,100.0,94.0,22.0,0.0,0.0,0.0
146,API,188.22,-13.8,-96.46,-15.5,Apia,95.0,91.0,37.0,0.0,90.0,83.0,91.0,92.0,78.0,89.0,75.0,88.0,48.0,55.0,81.0,83.0,63.0,89.0,93.0,36.0,98.0,98.0,99.0,97.0,96.0,98.0,88.0,65.0,74.0,26.0
147,ASP,133.88,-23.77,-151.93,-33.67,Alice Springs,100.0,99.0,99.0,98.0,100.0,100.0,99.0,100.0,100.0,99.0,99.0,99.0,98.0,97.0,94.0,93.0,98.0,73.0,98.0,36.0,98.0,95.0,94.0,100.0,98.0,99.0,99.0,99.0,94.0,38.0
148,BMT,116.2,40.3,-170.01,34.69,Beijing Ming Tombs,0.0,99.0,99.0,99.0,97.0,100.0,99.0,98.0,100.0,99.0,100.0,91.0,99.0,100.0,98.0,99.0,99.0,99.0,100.0,98.0,98.0,98.0,97.0,98.0,99.0,99.0,99.0,0.0,98.0,39.0
149,BNG,18.57,4.33,91.18,-9.54,Bangui,93.0,99.0,100.0,99.0,99.0,99.0,96.0,95.0,84.0,75.0,58.0,98.0,97.0,69.0,74.0,53.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,BSL,270.36,30.35,-17.89,40.69,Bay St Louis,86.0,92.0,95.0,99.0,100.0,99.0,97.0,99.0,100.0,99.0,66.0,0.0,92.0,99.0,99.0,100.0,99.0,98.0,95.0,100.0,99.0,99.0,99.0,99.0,89.0,98.0,79.0,89.0,95.0,37.0
151,CNB,150.7,-34.1,-131.11,-43.54,Canberra,100.0,100.0,99.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,74.0,99.0,36.0,99.0,95.0,95.0,100.0,99.0,99.0,99.0,99.0,95.0,39.0
152,CAN,149.36,-35.31,-132.35,-45.02,Canberra,87.0,0.0,67.0,86.0,97.0,83.0,99.0,98.0,85.0,96.0,93.0,99.0,91.0,93.0,76.0,89.0,82.0,99.0,92.0,96.0,93.0,94.0,98.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
153,CZT,51.87,-46.43,107.41,-53.23,Port Alfred,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,97.0,100.0,99.0,100.0,100.0,100.0,99.0,100.0,100.0,67.0,75.0,92.0,96.0,89.0,23.0,77.0,90.0,18.0,0.0,0.0,0.0
154,DLR,259.08,29.49,-32.17,38.4,Del Rio,97.0,97.0,97.0,97.0,98.0,99.0,98.0,98.0,99.0,97.0,100.0,100.0,85.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,DRV,140.01,-66.67,-122.99,-80.6,Dumont Durville,100.0,99.0,95.0,100.0,100.0,99.0,98.0,98.0,89.0,97.0,96.0,95.0,98.0,100.0,98.0,100.0,100.0,100.0,67.0,100.0,79.0,99.0,98.0,99.0,95.0,59.0,0.0,0.0,0.0,0.0
156,EYR,172.4,-43.4,-102.74,-49.89,Eyrewell,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,96.0,85.0,100.0,98.0,97.0,97.0,95.0,99.0,98.0,97.0,98.0,99.0,38.0
157,GNA,116.0,-31.8,-171.85,-43.57,Gnangara,99.0,99.0,100.0,99.0,100.0,94.0,98.0,99.0,96.0,96.0,94.0,97.0,99.0,100.0,99.0,100.0,100.0,72.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,GUA,144.87,13.59,-143.1,5.64,Guam,97.0,94.0,93.0,94.0,90.0,85.0,99.0,98.0,98.0,100.0,100.0,96.0,99.0,99.0,100.0,97.0,99.0,99.0,99.0,95.0,97.0,94.0,98.0,95.0,40.0,83.0,37.0,58.0,95.0,36.0
159,GUI,343.57,28.32,60.99,16.06,Guimar,0.0,0.0,75.0,93.0,98.0,90.0,86.0,95.0,97.0,98.0,84.0,93.0,100.0,100.0,100.0,100.0,100.0,85.0,93.0,69.0,75.0,97.0,91.0,72.0,96.0,95.0,94.0,63.0,94.0,37.0
160,HBK,27.71,-25.88,96.36,-35.51,Hartebeesthoek,95.0,95.0,77.0,89.0,98.0,99.0,89.0,79.0,98.0,84.0,98.0,93.0,90.0,82.0,80.0,98.0,90.0,99.0,90.0,100.0,95.0,94.0,56.0,26.0,97.0,93.0,31.0,88.0,97.0,38.0
161,HER,19.23,-34.43,84.09,-42.08,Hermanus,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,100.0,100.0,99.0,100.0,100.0,99.0,99.0,98.0,99.0,87.0,98.0,99.0,38.0
162,HLP,18.82,54.61,95.32,50.93,Hel,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,100.0,78.0,89.0,81.0,100.0,100.0,53.0,96.0,97.0,24.0,41.0
163,HON,202.0,21.32,-89.1,20.88,Honolulu,100.0,100.0,98.0,98.0,96.0,97.0,98.0,100.0,99.0,100.0,96.0,99.0,98.0,100.0,99.0,98.0,96.0,98.0,97.0,99.0,99.0,99.0,96.0,98.0,98.0,78.0,94.0,83.0,89.0,33.0
164,HRB,18.19,47.86,93.03,42.92,Hurbanovo,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,100.0,100.0,99.0,99.0,100.0,100.0,99.0,92.0,0.0,40.0
165,IQA,291.48,63.75,15.58,72.21,Iqaluit,98.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,100.0,72.0,97.0,97.0,95.0,100.0,86.0,95.0,93.0,96.0,100.0,90.0,63.0,88.0,95.0,98.0,95.0,99.0,87.0,99.0,38.0
166,IRT,104.45,52.17,178.45,47.79,Irkutsk,0.0,72.0,98.0,100.0,100.0,100.0,100.0,99.0,98.0,89.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,91.0,100.0,100.0,99.0,99.0,100.0,41.0
167,ISK,29.06,41.07,102.04,35.32,Kandilli,0.0,0.0,95.0,0.0,0.0,0.0,72.0,72.0,90.0,78.0,87.0,78.0,55.0,92.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,KAK,140.18,36.23,-147.05,29.12,Kakioka,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.0,100.0,98.0,98.0,98.0,100.0,95.0,98.0,97.0,86.0,99.0,38.0
169,KOU,307.27,5.21,24.46,8.62,Kourou,0.0,78.0,90.0,64.0,61.0,91.0,82.0,98.0,99.0,94.0,96.0,92.0,94.0,100.0,100.0,100.0,100.0,72.0,65.0,96.0,100.0,96.0,83.0,75.0,99.0,84.0,83.0,66.0,88.0,35.0
170,LNP,121.17,25.0,-165.89,18.13,Lunping,100.0,100.0,99.0,99.0,100.0,98.0,97.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,MBO,343.03,14.38,58.44,1.2,Mbour,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.0,100.0,94.0,99.0,99.0,98.0,94.0,99.0,0.0,95.0,57.0,100.0,99.0,99.0,91.0,33.0,50.0,17.0,0.0,0.0,0.0,0.0
172,MMB,144.19,43.91,-143.33,37.08,Memambetsu,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.0,100.0,98.0,97.0,97.0,100.0,95.0,97.0,96.0,85.0,99.0,38.0
173,NCK,16.72,47.63,91.68,42.6,Nagycenk,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,96.0,100.0,92.0,68.0,97.0,97.0,98.0,48.0,25.0,92.0,99.0,39.0
174,MZH,117.4,49.6,-168.51,44.53,Manzaoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PAF,70.26,-49.35,123.64,-58.63,Port aux Francias,100.0,100.0,100.0,100.0,100.0,100.0,99.0,98.0,100.0,100.0,99.0,67.0,99.0,96.0,100.0,100.0,99.0,100.0,67.0,100.0,92.0,100.0,100.0,97.0,23.0,0.0,63.0,97.0,98.0,31.0
176,PHU,105.95,21.03,178.77,14.11,Phuthuy,0.0,100.0,98.0,20.0,86.0,95.0,94.0,99.0,79.0,98.0,85.0,96.0,97.0,99.0,97.0,60.0,71.0,48.0,12.0,62.0,38.0,37.0,90.0,17.0,25.0,8.0,7.0,7.0,93.0,38.0
177,PPT,210.42,-17.57,-73.7,-16.22,Pamatai,100.0,99.0,86.0,79.0,93.0,98.0,88.0,98.0,99.0,98.0,100.0,100.0,94.0,99.0,97.0,99.0,100.0,99.0,67.0,100.0,96.0,99.0,98.0,97.0,92.0,33.0,82.0,66.0,98.0,39.0
178,SBA,166.78,-77.85,-31.24,-79.94,Scott Base,84.0,100.0,100.0,100.0,98.0,99.0,99.0,96.0,95.0,99.0,98.0,99.0,100.0,98.0,100.0,100.0,100.0,99.0,98.0,97.0,99.0,99.0,100.0,98.0,99.0,99.0,96.0,97.0,99.0,38.0
179,SJG,293.85,18.11,11.85,26.75,San Juan,99.0,98.0,96.0,98.0,94.0,72.0,98.0,99.0,96.0,99.0,99.0,99.0,98.0,99.0,99.0,100.0,100.0,99.0,99.0,98.0,100.0,99.0,87.0,98.0,99.0,89.0,75.0,61.0,77.0,39.0
180,SPT,355.65,39.55,72.25,31.31,San Pablo Toledo,0.0,0.0,97.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,97.0,96.0,98.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,0.0,76.0,100.0,86.0,89.0,100.0,39.0
181,SUA,26.25,45.32,99.92,40.18,Surlari,0.0,0.0,0.0,0.0,89.0,95.0,96.0,99.0,94.0,90.0,49.0,48.0,58.0,98.0,99.0,96.0,98.0,99.0,0.0,100.0,96.0,98.0,99.0,99.0,97.0,95.0,100.0,100.0,100.0,41.0
182,TAM,5.53,22.79,78.97,8.92,Tamanrasset,96.0,98.0,95.0,99.0,99.0,98.0,100.0,100.0,99.0,98.0,64.0,100.0,97.0,98.0,96.0,88.0,99.0,99.0,71.0,100.0,100.0,100.0,91.0,66.0,98.0,90.0,91.0,96.0,80.0,39.0
183,TAN,47.55,-18.92,117.81,-28.38,Antananarivo,71.0,86.0,98.0,73.0,96.0,97.0,94.0,88.0,86.0,86.0,90.0,27.0,72.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,TUC,249.27,32.17,-43.96,39.32,Tucson,92.0,96.0,94.0,98.0,97.0,96.0,97.0,97.0,99.0,95.0,98.0,93.0,96.0,98.0,99.0,100.0,97.0,98.0,99.0,95.0,89.0,99.0,99.0,77.0,92.0,100.0,96.0,97.0,89.0,39.0
185,VSS,316.35,-22.4,23.72,-18.53,Vassouras,0.0,0.0,0.0,0.0,100.0,90.0,94.0,80.0,98.0,99.0,100.0,97.0,97.0,95.0,74.0,98.0,98.0,61.0,97.0,99.0,90.0,89.0,99.0,95.0,91.0,99.0,99.0,100.0,99.0,41.0
186,KIV,30.3,50.72,104.63,46.56,Kiev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,96.0,93.0,98.0,65.0,79.0,92.0,100.0,79.0,76.0,26.0,14.0,0.0,0.0
187,LNN,30.7,59.95,107.38,56.62,Leningrad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,NKK,62.12,45.77,135.28,41.74,Novokazalinsk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,MNK,27.88,54.5,103.27,50.76,Minsk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,92.0,99.0,98.0,99.0,100.0,99.0,100.0,99.0,100.0,97.0,91.0,44.0,67.0,53.0,0.0
